year,EDAFF,EDAFM,EDAMM,EDAFcount,EDATotcount
1983,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA
1992,8,29,10,45,94
1993,NA,NA,NA,NA,NA
1994,14,12,14,40,80
1995,NA,NA,NA,NA,NA
1996,18,19,4,55,82
1997,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA
1999,35,20,0,90,110
2000,NA,NA,NA,NA,NA
2001,70,12,1,152,166
2002,NA,NA,NA,NA,NA
2003,40,6,2,86,96
2004,NA,NA,NA,NA,NA
2005,77,11,0,165,176
2006,NA,NA,NA,NA,NA
2007,54,6,0,114,120
2008,68,11,0,147,158
2009,NA,NA,NA,NA,NA
2010,82,11,0,175,186
